name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
I&N Fabrications,105.0,9.0,62.25,2025-11-18 00:00:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 00:15:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 00:30:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 00:45:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 01:00:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 01:15:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 01:30:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 01:45:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 02:00:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 02:15:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 02:30:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 02:45:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 03:00:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 03:15:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 03:30:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 03:45:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 04:00:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 04:15:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 04:30:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 04:45:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 05:00:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 05:15:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 05:30:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 05:45:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 06:00:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 06:15:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 06:30:30+00:00,0.0,0.0,0.0,0.0
I&N Fabrications,105.0,9.0,62.25,2025-11-18 06:45:30+00:00,0.0,0.0,0.0,0.0
